ECS,Italy,42419.72266,34.4,7.6,4.3,15.4
LCN,Jamaica,9550.810547,62.22,2.81,2.38,5.13
MEA,Jordan,10413.17578,50,2,1.5,15.5
EAS,Japan,41309.95703,36,5,4,6
ECS,Kazakhstan,22702.58008,30,5,3,7
SSF,Kenya,3329.854492,57,3,1,9
ECS,Kyrgyz Republic,4805.141113,NA,NA,NA,NA
EAS,Cambodia,3364.278809,66.6,2.6,2,10.4
EAS,Kiribati,2249.768555,43.6,5.5,10,9.3
LCN,St. Kitts and Nevis,25569.35742,27.2,8.1,8.8,12.2
EAS,"Korea, Rep.",42105.28125,30,2.5,2.6,NA
MEA,Kuwait,58810.30078,45,4,2,8
EAS,Lao PDR,6543.666992,16.9,9.3,3.7,20.3
MEA,Lebanon,16966.74023,52.5,3.5,5.5,11
SSF,Liberia,1333.422241,NA,NA,NA,NA
MEA,Libya,8479.946289,70.1,3.1,4.3,3.8
LCN,St. Lucia,14029.98242,45,7,5,11
ECS,Liechtenstein,45726.98828,37.6,5,12.5,9.1
SAS,Sri Lanka,12287.47266,62,2,3,13
SSF,Lesotho,1978.608398,NA,NA,NA,NA
ECS,Lithuania,37278.30469,40.4,8.65,2.75,44.05
ECS,Luxembourg,114323.4063,30,4,2,27
ECS,Latvia,30982.17383,46.7,21.4,2.6,9.7
EAS,"Macao SAR, China",117335.5859,3.1,3.3,1.7,3.1
LCN,St. Martin (French part),30385.89453,NA,NA,NA,NA
MEA,Morocco,6915.103027,60,2,2.5,6
ECS,Monaco,43711.80078,NA,3,2.2,NA
ECS,Moldova,10360.83008,55,4,3,23
SSF,Madagascar,1565.866943,NA,NA,NA,NA
SAS,Maldives,17284.60938,24,NA,1,1
LCN,Mexico,19332.07422,52.4,5.9,3.4,12.1
EAS,Marshall Islands,3628.895264,8,2,6,31
ECS,"Macedonia, FYR",16147.72949,29.3,4.1,2.5,19.8
SSF,Mali,2007.80603,17.5,1,3.5,72.5
MEA,Malta,43707.53906,52,6,4,9.5
EAS,Myanmar,1093.788086,NA,NA,NA,NA
ECS,Montenegro,20752.62109,33.82,8.97,2.9,19.46
EAS,Mongolia,10940.41504,22.7,NA,NA,50.1
EAS,Northern Mariana Islands,60955.72656,43.6,5.5,10,9.3
SSF,Mozambique,1217.09021,60,NA,NA,15
SSF,Mauritania,4783.635742,4.8,4,4.2,59.7
SSF,Mauritius,20646.93359,64,2.8,NA,8
SSF,Malawi,999.4413452,NA,NA,NA,NA
EAS,Malaysia,23906.26563,46,3,3,9
SSF,Namibia,6152.987305,NA,NA,NA,NA
EAS,New Caledonia,57330.20313,43.6,5.5,10,9.3
SSF,Niger,1038.224121,38,NA,1,57
SSF,Nigeria,4690.379395,NA,3.1,NA,11.3
LCN,Nicaragua,4611.840332,NA,NA,NA,NA
ECS,Netherlands,56849.375,35,5.4,4.3,20.24
ECS,Norway,64962.26172,15.49,4.6,6.12,13.15
SAS,Nepal,2902.249268,52.39,4.36,1.9,7.12
EAS,Nauru,11167.31934,43.6,5.5,10,9.3
EAS,New Zealand,41857.47656,28,4,4.5,37
MEA,Oman,30535.83398,27,6,NA,24
SAS,Pakistan,4571.414551,30,6,4,20
LCN,Panama,28436.35938,46.4,5.8,3.8,5.7
LCN,Peru,11877.08398,50.43,3.05,2.64,21.7
EAS,Philippines,7705.04541,52.31,2.34,4.22,21.52
EAS,Palau,18275.02539,26,5,10,9
EAS,Papua New Guinea,3912.381104,31,NA,NA,42
ECS,Poland,33221.54297,37.27,10.07,2.17,26.69
LCN,Puerto Rico,34311.03125,13.1,2.4,10.4,23.8
ECS,Portugal,34961.94531,36.49,6.73,1.85,27.68
LCN,Paraguay,11810.42773,NA,NA,NA,NA
MEA,West Bank and Gaza,5985.683105,59.1,2.4,2.7,11.5
EAS,French Polynesia,60955.72656,47,3,3,29
MEA,Qatar,96261.66406,57,4,9,5
ECS,Romania,29983.55664,56.26,4.89,2.5,10.68
ECS,Russian Federation,26012.84961,28.41,16.82,1.83,19.03
SSF,Rwanda,1950.528076,NA,NA,NA,NA
MEA,Saudi Arabia,48921.23047,45.5,4,5,2.5
SSF,Sudan,4191.823242,51.4,3.5,1.7,18.9
SSF,Senegal,3067.662598,12,2,2,68
EAS,Singapore,97341.46875,10.51,0.93,19.12,32.3
EAS,Solomon Islands,2596.452881,42.8,6.65,13.15,3.7
SSF,Sierra Leone,1237.630249,NA,NA,NA,NA
LCN,El Salvador,7328.713379,65,4,2,7
ECS,San Marino,58806.19922,5.35,5.61,0.9,65.56
SSF,Somalia,1862.614136,NA,NA,NA,NA
ECS,Serbia,18351.27344,37.62,5.44,1.38,16.72
SSF,South Sudan,1795.991943,NA,NA,NA,NA
SSF,São Tomé and Príncipe,3720.786865,NA,NA,NA,NA
LCN,Suriname,16953.80273,57,3,3,24
ECS,Slovak Republic,31965.76172,42,19,2,1
ECS,Slovenia,39037.93359,NA,NA,NA,NA
ECS,Sweden,52608.71094,23.34,9.15,9.2,NA
SSF,Eswatini,8321.106445,NA,NA,NA,NA
LCN,Sint Maarten (Dutch part),NA,46,7,7,12
SSF,Seychelles,23302.95313,48.5,5.2,4.6,25.8
MEA,Syrian Arab Republic,8587.050781,57,3,4,22
LCN,Turks and Caicos Islands,28174.48242,21.8,20.5,7.6,2.4
SSF,Chad,1732.691284,70,1,2,18
SSF,Togo,1404.132935,38,2,4,42
EAS,Thailand,16301.53809,65.52,3.04,1.85,4.74
ECS,Tajikistan,2616.475586,NA,NA,NA,NA
ECS,Turkmenistan,11471.18652,16.18,4.64,11.44,62.54
EAS,Timor-Leste,3344.57373,43.6,5.5,10,9.3
EAS,Tonga,5636.418457,51.3,5.9,9,8.9
LCN,Trinidad and Tobago,28910.9082,27.15,10.15,3.74,17.19
MEA,Tunisia,10505.2627,68,2,4,5
ECS,Turkey,28289.08789,64,2,1,24
EAS,Tuvalu,3793.127686,43.6,5.5,10,9.3
EAS,NA,57362.92578,23.34,4.11,3.07,14.11
SSF,Tanzania,2128.553955,NA,NA,NA,NA
SSF,Uganda,1972.301758,74.5,0.8,0.6,10.6
ECS,Ukraine,11534.6377,37,5,4,22
LCN,Uruguay,20588.39258,53.5,3,5,7.5
NAC,United States,61498.37109,14.9,4.4,9,3.2
ECS,Uzbekistan,5164.274414,40,3,2,17.5
LCN,St. Vincent and the Grenadines,11971.99316,49.6,5.6,3.8,10.5
LCN,"Venezuela, RB",14269.67383,NA,NA,NA,NA
LCN,British Virgin Islands,24215.88281,6.5,18.1,8.6,4.8
LCN,Virgin Islands (U.S.),30436.56445,46,7,7,12
EAS,Vietnam,5089.411133,61.9,2.18,0.58,15.18
EAS,Vanuatu,3061.787354,73.4,5.4,3.8,5.7
EAS,Samoa,6210.983398,42.6,2.2,8.8,19.4
ECS,Kosovo,9723.561523,42,6,6,20
MEA,"Yemen, Rep.",8269.671875,65,1,6,6
SSF,South Africa,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557
SSF,Zambia,3201.289307,NA,NA,NA,NA
SSF,Zimbabwe,3190.506592,36,5,6,3
